,Stn,Datum,Tijd,P,qP,T,qT
608,81,19270722,19.45,755.2,0,29,0
609,81,19270723,7.45,755.5,0,27,0
610,81,19270723,13.45,754.1,0,30,0
611,81,19270723,19.45,755.2,0,29,0
612,81,19270724,7.45,756.0,0,27,0
613,81,19270724,13.45,756.1,0,30,0
614,81,19270724,19.45,755.7,0,29,0
615,81,19270725,7.45,757.3,0,28,0
616,81,19270725,13.45,757.1,0,30,0
617,81,19270725,19.45,757.2,0,29,0
618,81,19270726,7.45,757.5,0,27,0
619,81,19270726,13.45,756.7,0,29,0
620,81,19270726,19.45,757.3,0,28,0
621,81,19270727,7.45,757.5,0,27,0
622,81,19270727,13.45,757.2,0,29,0
623,81,19270727,19.45,757.3,0,28,0
624,81,19270728,7.45,757.5,0,27,0
625,81,19270728,13.45,756.2,0,29,0
626,81,19270728,19.45,755.3,0,28,0
627,81,19270729,7.45,755.5,0,27,0
628,81,19270729,13.45,755.7,0,29,0
629,81,19270729,19.45,756.3,0,28,0
