SEF	1.0
ID	Oranjestad_Aruba
Name	Oranjestad Aruba
Source	KNMI_Caribisch
Lat	12.52
Lon	-70.04
Alt	5
Link	
Vbl	rr
Stat	sum
Units	mm
Meta	Data policy=open
Year	Month	Day	Hour	Minute	Period	Precipitation	Meta
1938	12	23	00	00	day		qc=7
1938	12	23	11	00	day		qc=7
1938	12	23	16	00	day		qc=7
1938	12	23	21	00	day		qc=7
1938	12	24	00	00	day		qc=7
1938	12	24	11	00	day		qc=7
1938	12	24	16	00	day		qc=7
1938	12	24	21	00	day		qc=7
1938	12	25	00	00	day		qc=7
1938	12	25	11	00	day		qc=7
1938	12	25	16	00	day		qc=7
1938	12	25	21	00	day		qc=7
1938	12	26	00	00	day		qc=7
1938	12	26	11	00	day		qc=7
1938	12	26	16	00	day		qc=7
1938	12	26	21	00	day		qc=7
1938	12	27	00	00	day		qc=7
1938	12	27	11	00	day		qc=7
1938	12	27	16	00	day		qc=7
1938	12	27	21	00	day		qc=7
1938	12	28	00	00	day		qc=7
1938	12	28	11	00	day		qc=7
1938	12	28	16	00	day		qc=7
1938	12	28	21	00	day		qc=7
1938	12	29	00	00	day		qc=7
1938	12	29	11	00	day		qc=7
1938	12	29	16	00	day		qc=7
1938	12	29	21	00	day		qc=7
1938	12	30	00	00	day		qc=7
1938	12	30	11	00	day		qc=7
1938	12	30	16	00	day		qc=7
1938	12	30	21	00	day		qc=7
1938	12	31	00	00	day		qc=7
1938	12	31	11	00	day		qc=7
1938	12	31	16	00	day		qc=7
1938	12	31	21	00	day		qc=7
1939	01	01	00	00	day		qc=7
1938	01	01	11	00	day	0.0	qc=0
1938	01	01	16	00	day	0.0	qc=0
1938	01	01	21	00	day	0.0	qc=0
1938	01	02	00	00	day	0.0	qc=0
1938	01	02	11	00	day	0.0	qc=0
1938	01	02	16	00	day	0.0	qc=0
1938	01	02	21	00	day	0.0	qc=0
1938	01	03	00	00	day	0.0	qc=0
1938	01	03	11	00	day	0.0	qc=0
1938	01	03	16	00	day	0.0	qc=0
1938	01	03	21	00	day	0.0	qc=0
1938	01	04	00	00	day	0.0	qc=0
1938	01	04	11	00	day	20.3	qc=0
1938	01	04	16	00	day	20.3	qc=0
1938	01	04	21	00	day	20.3	qc=0
1938	01	05	00	00	day	20.3	qc=0
1938	01	05	11	00	day	1.8	qc=0
1938	01	05	16	00	day	1.8	qc=0
1938	01	05	21	00	day	1.8	qc=0
1938	01	06	00	00	day	1.8	qc=0
1938	01	06	11	00	day	0.0	qc=0
1938	01	06	16	00	day	0.0	qc=0
1938	01	06	21	00	day	0.0	qc=0
1938	01	07	00	00	day	0.0	qc=0
1938	01	07	11	00	day	0.0	qc=0
1938	01	07	16	00	day	0.0	qc=0
1938	01	07	21	00	day	0.0	qc=0
1938	01	08	00	00	day	0.0	qc=0
1938	01	08	11	00	day	0.0	qc=0
1938	01	08	16	00	day	0.0	qc=0
1938	01	08	21	00	day	0.0	qc=0
1938	01	09	00	00	day	0.0	qc=0
1938	01	09	11	00	day	0.0	qc=0
1938	01	09	16	00	day	0.0	qc=0
1938	01	09	21	00	day	0.0	qc=0
1938	01	10	00	00	day	0.0	qc=0
1938	01	10	11	00	day	9.0	qc=0
1938	01	10	16	00	day	9.0	qc=0
1938	01	10	21	00	day	9.0	qc=0
1938	01	11	00	00	day	9.0	qc=0
1938	01	11	11	00	day	2.2	qc=0
1938	01	11	16	00	day	2.2	qc=0
1938	01	11	21	00	day	2.2	qc=0
1938	01	12	00	00	day	2.2	qc=0
1938	01	12	11	00	day	0.0	qc=0
1938	01	12	16	00	day	0.0	qc=0
1938	01	12	21	00	day	0.0	qc=0
1938	01	13	00	00	day	0.0	qc=0
1938	01	13	11	00	day	0.0	qc=0
1938	01	13	16	00	day	0.0	qc=0
1938	01	13	21	00	day	0.0	qc=0
1938	01	14	00	00	day	0.0	qc=0
1938	01	14	11	00	day	0.6	qc=0
1938	01	14	16	00	day	0.6	qc=0
1938	01	14	21	00	day	0.6	qc=0
1938	01	15	00	00	day	0.6	qc=0
1938	01	15	11	00	day	0.0	qc=0
1938	01	15	16	00	day	0.0	qc=0
1938	01	15	21	00	day	0.0	qc=0
1938	01	16	00	00	day	0.0	qc=0
1938	01	16	11	00	day	0.0	qc=0
1938	01	16	16	00	day	0.0	qc=0
1938	01	16	21	00	day	0.0	qc=0
1938	01	17	00	00	day	0.0	qc=0
1938	01	17	11	00	day	0.3	qc=0
1938	01	17	16	00	day	0.3	qc=0
1938	01	17	21	00	day	0.3	qc=0
1938	01	18	00	00	day	0.3	qc=0
1938	01	18	11	00	day	0.0	qc=0
1938	01	18	16	00	day	0.0	qc=0
1938	01	18	21	00	day	0.0	qc=0
1938	01	19	00	00	day	0.0	qc=0
1938	01	19	11	00	day	0.0	qc=0
1938	01	19	16	00	day	0.0	qc=0
1938	01	19	21	00	day	0.0	qc=0
1938	01	20	00	00	day	0.0	qc=0
1938	01	20	11	00	day	0.5	qc=0
1938	01	20	16	00	day	0.5	qc=0
1938	01	20	21	00	day	0.5	qc=0
1938	01	21	00	00	day	0.5	qc=0
1938	01	21	11	00	day	4.3	qc=0
1938	01	21	16	00	day	4.3	qc=0
1938	01	21	21	00	day	4.3	qc=0
1938	01	22	00	00	day	4.3	qc=0
1938	01	22	11	00	day	4.9	qc=0
1938	01	22	16	00	day	4.9	qc=0
1938	01	22	21	00	day	4.9	qc=0
1938	01	23	00	00	day	4.9	qc=0
1938	01	23	11	00	day	0.0	qc=0
1938	01	23	16	00	day	0.0	qc=0
1938	01	23	21	00	day	0.0	qc=0
1938	01	24	00	00	day	0.0	qc=0
1938	01	24	11	00	day	2.1	qc=0
