,Stn,Datum,Tijd,F,qF
618,78989,18990126,19.0,12,0
619,78989,18990126,20.0,13,0
620,78989,18990126,21.0,14,0
621,78989,18990126,22.0,12,0
622,78989,18990126,23.0,12,0
623,78989,18990126,24.0,12,0
624,78989,18990127,1.0,11,0
625,78989,18990127,2.0,12,0
626,78989,18990127,3.0,11,0
627,78989,18990127,4.0,11,0
628,78989,18990127,5.0,14,0
629,78989,18990127,6.0,12,0
630,78989,18990127,7.0,12,0
631,78989,18990127,8.0,14,0
632,78989,18990127,9.0,16,0
633,78989,18990127,10.0,16,0
634,78989,18990127,11.0,15,0
635,78989,18990127,12.0,16,0
636,78989,18990127,13.0,17,0
637,78989,18990127,14.0,16,0
638,78989,18990127,15.0,16,0
639,78989,18990127,16.0,16,0
640,78989,18990127,17.0,15,0
641,78989,18990127,18.0,13,0
642,78989,18990127,19.0,10,0
643,78989,18990127,20.0,12,0
644,78989,18990127,21.0,12,0
645,78989,18990127,22.0,12,0
646,78989,18990127,23.0,12,0
647,78989,18990127,24.0,11,0
648,78989,18990128,1.0,10,0
649,78989,18990128,2.0,10,0
650,78989,18990128,3.0,9,0
651,78989,18990128,4.0,8,0
652,78989,18990128,5.0,8,0
653,78989,18990128,6.0,8,0
654,78989,18990128,7.0,7,0
655,78989,18990128,8.0,10,0
656,78989,18990128,9.0,14,0
657,78989,18990128,10.0,14,0
658,78989,18990128,11.0,15,0
659,78989,18990128,12.0,16,0
660,78989,18990128,13.0,15,0
661,78989,18990128,14.0,13,0
662,78989,18990128,15.0,14,0
663,78989,18990128,16.0,14,0
664,78989,18990128,17.0,12,0
665,78989,18990128,18.0,12,0
666,78989,18990128,19.0,10,0
667,78989,18990128,20.0,9,0
668,78989,18990128,21.0,10,0
669,78989,18990128,22.0,10,0
670,78989,18990128,23.0,8,0
671,78989,18990128,24.0,7,0
672,78989,18990129,1.0,6,0
673,78989,18990129,2.0,7,0
674,78989,18990129,3.0,6,0
675,78989,18990129,4.0,6,0
676,78989,18990129,5.0,4,0
677,78989,18990129,6.0,5,0
678,78989,18990129,7.0,7,0
679,78989,18990129,8.0,9,0
680,78989,18990129,9.0,8,0
681,78989,18990129,10.0,10,0
682,78989,18990129,11.0,12,0
683,78989,18990129,12.0,13,0
684,78989,18990129,13.0,13,0
685,78989,18990129,14.0,13,0
686,78989,18990129,15.0,16,0
687,78989,18990129,16.0,16,0
688,78989,18990129,17.0,17,0
689,78989,18990129,18.0,16,0
690,78989,18990129,19.0,12,0
691,78989,18990129,20.0,12,0
692,78989,18990129,21.0,11,0
