,81201 Paramaribo,luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mm Hg),luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PT 8,PT 14,PT 18,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 29_level_1
92,,,,,1015.1322580645161,1014.5677419354839,1013.3516129032258,24.980645161290322,29.970967741935482,26.796774193548384,30.616129032258065,22.961290322580645,20.161290322580648,19.929032258064517,19.338709677419352,85.61290322580645,63.064516129032256,74.0,,1.1290322580645162,,2.774193548387097,,2.161290322580645,4.161290322580645,6.387096774193548,4.67741935483871,49.4,,
93,19500401.0,,,,155.0,144.0,131.0,247.0,319.0,274.0,317.0,211.0,195.0,199.0,184.0,84.0,56.0,68.0,E,0.0,NE,3.0,NE,1.0,4.0,3.0,2.0,0.0,,
94,19500402.0,,,,154.0,144.0,134.0,251.0,270.0,268.0,321.0,220.0,205.0,201.0,195.0,87.0,76.0,75.0,E,0.0,E,0.0,ENE,2.0,1.0,10.0,7.0,0.0,,
95,19500403.0,,,,155.0,143.0,143.0,245.0,275.0,248.0,296.0,234.0,211.0,206.0,202.0,92.0,76.0,87.0,E,0.0,NE,2.0,NE,3.0,9.0,10.0,8.0,30.0,,
96,19500404.0,,,,150.0,143.0,140.0,255.0,292.0,261.0,276.0,222.0,203.0,188.0,201.0,84.0,62.0,80.0,NE,1.0,NE,3.0,NE,2.0,4.0,8.0,8.0,48.0,,
97,19500405.0,,,,148.0,140.0,122.0,251.0,302.0,269.0,304.0,232.0,209.0,207.0,204.0,88.0,65.0,77.0,E,1.0,NNE,3.0,NE,1.0,4.0,8.0,4.0,10.0,,
98,19500406.0,,,,146.0,143.0,127.0,256.0,293.0,262.0,307.0,238.0,210.0,211.0,210.0,86.0,69.0,83.0,NE,1.0,ENE,2.0,NE,2.0,6.0,9.0,3.0,3.0,,
99,19500407.0,,,,146.0,134.0,123.0,259.0,307.0,276.0,307.0,241.0,216.0,198.0,195.0,87.0,61.0,71.0,E,0.0,ENE,4.0,ENE,3.0,9.0,3.0,1.0,11.0,,
100,19500408.0,,,,154.0,138.0,120.0,265.0,317.0,280.0,316.0,231.0,203.0,217.0,203.0,79.0,62.0,72.0,E,2.0,NE,2.0,NE,2.0,1.0,7.0,1.0,0.0,,
101,19500409.0,,,,158.0,142.0,127.0,265.0,324.0,275.0,333.0,239.0,208.0,198.0,196.0,81.0,55.0,72.0,E,2.0,ENE,3.0,NE,3.0,2.0,2.0,1.0,0.0,,
102,19500410.0,,,,152.0,135.0,146.0,266.0,285.0,270.0,330.0,236.0,204.0,208.0,192.0,79.0,72.0,72.0,ENE,2.0,NE,2.0,NE,2.0,7.0,6.0,9.0,0.0,,
103,19500411.0,,,,155.0,151.0,142.0,245.0,285.0,266.0,300.0,229.0,203.0,202.0,196.0,89.0,69.0,76.0,E,0.0,NE,1.0,NE,1.0,9.0,9.0,8.0,42.0,,
