,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
55,19550224.0,108.0,88.0,76.0,252.0,295.0,269.0,309.0,236.0,216.0,212.0,202.0,91.0,68.0,77.0,Calm,0.0,NE,3.0,NE,2.0,8.0,9.0,4.0,35.0,,
56,19550225.0,89.0,92.0,81.0,248.0,293.0,268.0,298.0,240.0,217.0,213.0,208.0,93.0,70.0,80.0,Calm,0.0,ENE,2.0,NNE,2.0,7.0,9.0,7.0,0.0,,
57,19550226.0,116.0,98.0,85.0,245.0,287.0,268.0,296.0,236.0,209.0,209.0,205.0,92.0,71.0,78.0,Calm,0.0,NNE,2.0,NNE,2.0,9.0,8.0,6.0,5.0,,
58,19550227.0,113.0,113.0,105.0,248.0,247.0,235.0,296.0,238.0,223.0,208.0,201.0,96.0,90.0,93.0,Calm,0.0,NE,2.0,Calm,0.0,9.0,10.0,9.0,72.0,,
59,19550228.0,117.0,94.0,82.0,231.0,280.0,262.0,264.0,227.0,190.0,205.0,206.0,90.0,72.0,82.0,Calm,0.0,ENE,2.0,NNE,2.0,9.0,9.0,9.0,97.0,,
60,,1011.5178571428571,1010.5785714285714,1009.3035714285714,24.53214285714286,28.260714285714283,26.089285714285715,29.17142857142857,22.95714285714286,20.182142857142857,20.00714285714286,19.607142857142858,88.28571428571429,70.53571428571429,78.42857142857143,,0.4642857142857143,,2.4642857142857144,,1.7857142857142858,6.285714285714286,8.392857142857142,6.142857142857143,141.4,,
61,19550301.0,100.0,93.0,78.0,245.0,257.0,267.0,286.0,227.0,209.0,197.0,207.0,92.0,67.0,80.0,Calm,0.0,NE,3.0,NE,1.0,9.0,9.0,9.0,64.0,,
62,19550302.0,100.0,93.0,85.0,255.0,276.0,258.0,291.0,232.0,201.0,184.0,182.0,83.0,67.0,74.0,Calm,0.0,NNE,2.0,NE,1.0,5.0,9.0,5.0,1.0,,
63,19550303.0,94.0,88.0,82.0,252.0,294.0,249.0,279.0,216.0,205.0,183.0,200.0,86.0,60.0,87.0,E,1.0,NE,3.0,NE,3.0,1.0,4.0,9.0,9.0,,
64,19550304.0,100.0,105.0,,240.0,283.0,,299.0,229.0,205.0,203.0,,92.0,71.0,,Calm,0.0,NE,3.0,,,9.0,9.0,,40.0,,
65,19550305.0,102.0,97.0,89.0,261.0,286.0,259.0,289.0,240.0,184.0,184.0,180.0,73.0,63.0,73.0,NE,1.0,NNE,3.0,NNE,2.0,8.0,9.0,9.0,0.0,,
66,19550306.0,106.0,105.0,90.0,227.0,241.0,229.0,290.0,221.0,183.0,180.0,180.0,90.0,81.0,88.0,NE,1.0,NE,1.0,Calm,0.0,10.0,10.0,10.0,104.0,,
67,19550307.0,112.0,112.0,101.0,224.0,243.0,228.0,269.0,223.0,187.0,210.0,183.0,93.0,93.0,89.0,ENE,1.0,E,1.0,E,1.0,10.0,10.0,10.0,43.0,,
68,19550308.0,109.0,105.0,93.0,239.0,247.0,241.0,246.0,221.0,209.0,214.0,195.0,95.0,92.0,88.0,Calm,0.0,E,1.0,NE,2.0,8.0,10.0,10.0,94.0,,
