,Stn,Datum,Tijd,P,qP,T,qT,Tn,qTn,Tx,qTx,U,qU,Ed,qEd,Tw,qTw,D,qD,F,qF,N,qN
126,32,19400201,17.0,759.5,0,27.4,0,—,7,—,7,74,0,20.3,0,23.8,0,45,0,0.4,0,3,0
127,32,19400201,24.0,—,7,—,7,28.5,0,30,0,—,7,—,7,—,7,—,7,—,7,—,7
128,32,19400202,7.0,759.5,0,25.9,0,—,7,—,7,85,0,21.4,0,24,0,45,0,0.3,0,3,0
129,32,19400202,12.0,759.7,0,28,0,—,7,—,7,73,0,20.7,0,24.2,0,45,0,0.4,0,2,0
130,32,19400202,17.0,760,0,27.7,0,—,7,—,7,74,0,20.5,0,24,0,45,0,0.4,0,2,0
131,32,19400202,24.0,—,7,—,7,27,0,28.8,0,—,7,—,7,—,7,—,7,—,7,—,7
132,32,19400203,7.0,758.9,0,25.9,0,—,7,—,7,85,0,21.4,0,24,0,45,0,0.3,0,3,0
133,32,19400203,12.0,759.7,0,27.4,0,—,7,—,7,77,0,21,0,24.2,0,45,0,0.4,0,3,0
134,32,19400203,17.0,760,0,26.9,0,—,7,—,7,79,0,21.1,0,24.1,0,45,0,0.4,0,3,0
135,32,19400203,24.0,—,7,—,7,27.8,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
136,32,19400204,7.0,758.7,0,27.3,0,—,7,—,7,69,0,18.9,0,23,0,45,0,0.3,0,2,0
137,32,19400204,12.0,759.5,0,27.9,0,—,7,—,7,70,0,19.7,0,23.6,0,45,0,0.4,0,3,0
138,32,19400204,17.0,759,0,27.3,0,—,7,—,7,71,0,19.3,0,23.2,0,45,0,0.5,0,4,0
139,32,19400204,24.0,—,7,—,7,28,0,29,0,—,7,—,7,—,7,—,7,—,7,—,7
140,32,19400205,7.0,759.7,0,25.9,0,—,7,—,7,78,0,19.6,0,23,0,65,0,0.3,0,3,0
141,32,19400205,12.0,759.2,0,28.1,0,—,7,—,7,67,0,19.2,0,23.4,0,65,0,0.4,0,3,0
142,32,19400205,17.0,758.9,0,27.2,0,—,7,—,7,70,0,19,0,23,0,65,0,0.4,0,3,0
143,32,19400205,24.0,—,7,—,7,27.8,0,29.4,0,—,7,—,7,—,7,—,7,—,7,—,7
144,32,19400206,7.0,758.9,0,25.7,0,—,7,—,7,80,0,19.7,0,23,0,65,0,0.4,0,2,0
145,32,19400206,12.0,759.7,0,28,0,—,7,—,7,67,0,18.9,0,23.2,0,65,0,0.5,0,3,0
146,32,19400206,17.0,759.5,0,27.1,0,—,7,—,7,71,0,19,0,23,0,65,0,0.5,0,3,0
147,32,19400206,24.0,—,7,—,7,27,0,29.6,0,—,7,—,7,—,7,—,7,—,7,—,7
148,32,19400207,7.0,759.7,0,28,0,—,7,—,7,68,0,19.3,0,23.4,0,65,0,0.4,0,3,0
149,32,19400207,12.0,759.7,0,28.5,0,—,7,—,7,67,0,19.6,0,23.7,0,65,0,0.6,0,4,0
150,32,19400207,17.0,759.5,0,27.9,0,—,7,—,7,68,0,19.2,0,23.3,0,65,0,0.6,0,3,0
151,32,19400207,24.0,—,7,—,7,28.8,0,29.8,0,—,7,—,7,—,7,—,7,—,7,—,7
152,32,19400208,7.0,761,0,26.7,0,—,7,—,7,72,0,18.9,0,22.8,0,65,0,0.4,0,2,0
153,32,19400208,12.0,759.5,0,26.9,0,—,7,—,7,73,0,19.5,0,23.2,0,65,0,0.5,0,3,0
154,32,19400208,17.0,759.5,0,26.9,0,—,7,—,7,71,0,19,0,22.9,0,65,0,0.6,0,2,0
155,32,19400208,24.0,—,7,—,7,28.3,0,29.6,0,—,7,—,7,—,7,—,7,—,7,—,7
156,32,19400209,7.0,759.7,0,27.7,0,—,7,—,7,72,0,20.2,0,23.8,0,65,0,0.4,0,3,0
157,32,19400209,12.0,760,0,29.7,0,—,7,—,7,66,0,20.7,0,24.6,0,65,0,0.6,0,2,0
158,32,19400209,17.0,760.2,0,28.1,0,—,7,—,7,71,0,20.3,0,24,0,65,0,0.6,0,3,0
159,32,19400209,24.0,—,7,—,7,29,0,31.1,0,—,7,—,7,—,7,—,7,—,7,—,7
160,32,19400210,7.0,759.5,0,27.5,0,—,7,—,7,75,0,20.6,0,24,0,90,0,0.4,0,3,0
161,32,19400210,12.0,759.7,0,29.1,0,—,7,—,7,69,0,21,0,24.6,0,90,0,0.5,0,3,0
162,32,19400210,17.0,759.7,0,27.9,0,—,7,—,7,74,0,20.8,0,24.2,0,65,0,0.6,0,3,0
163,32,19400210,24.0,—,7,—,7,29.1,0,31.4,0,—,7,—,7,—,7,—,7,—,7,—,7
164,32,19400211,7.0,758.5,0,27,0,—,7,—,7,77,0,20.5,0,23.8,0,65,0,0.5,0,2,0
165,32,19400211,12.0,759.7,0,28.7,0,—,7,—,7,68,0,20,0,24,0,65,0,0.6,0,2,0
166,32,19400211,17.0,759.2,0,27.1,0,—,7,—,7,76,0,20.5,0,23.8,0,90,0,0.5,0,2,0
167,32,19400211,24.0,—,7,—,7,29.4,0,30.8,0,—,7,—,7,—,7,—,7,—,7,—,7
168,32,19400212,7.0,759.5,0,26.3,0,—,7,—,7,78,0,20.1,0,23.4,0,65,0,0.5,0,2,0
169,32,19400212,12.0,759.7,0,28.4,0,—,7,—,7,68,0,19.8,0,23.8,0,65,0,0.6,0,3,0
170,32,19400212,17.0,759.2,0,27.9,0,—,7,—,7,70,0,19.7,0,23.6,0,65,0,0.6,0,3,0
171,32,19400212,24.0,—,7,—,7,28,0,30.4,0,—,7,—,7,—,7,—,7,—,7,—,7
172,32,19400213,7.0,759.2,0,25.9,0,—,7,—,7,78,0,19.6,0,23,0,65,0,0.5,0,2,0
173,32,19400213,12.0,760,0,28.4,0,—,7,—,7,64,0,18.7,0,23.2,0,65,0,0.7,0,3,0
174,32,19400213,17.0,759.5,0,26.1,0,—,7,—,7,77,0,19.5,0,23,0,65,0,0.7,0,3,0
175,32,19400213,24.0,—,7,—,7,27,0,30.5,0,—,7,—,7,—,7,—,7,—,7,—,7
176,32,19400214,7.0,758.5,0,26.1,0,—,7,—,7,76,0,19.2,0,22.8,0,65,0,0.5,0,3,0
