,Stn,Datum,Tijd,P,qP
648,73,19430805,8.0,763,0
649,73,19430805,12.0,763,0
650,73,19430805,16.0,762,0
651,73,19430806,8.0,764,0
652,73,19430806,12.0,763,0
653,73,19430806,16.0,763,0
654,73,19430807,8.0,763,0
655,73,19430807,12.0,763,0
656,73,19430807,16.0,762,0
657,73,19430808,8.0,762,0
658,73,19430808,12.0,762,0
659,73,19430808,16.0,762,0
660,73,19430809,8.0,763,0
661,73,19430809,12.0,761,0
662,73,19430809,16.0,760,0
663,73,19430810,8.0,762,0
664,73,19430810,12.0,761,0
665,73,19430810,16.0,761,0
666,73,19430811,8.0,762,0
667,73,19430811,12.0,762,0
668,73,19430811,16.0,761,0
669,73,19430812,8.0,762,0
670,73,19430812,12.0,761,0
671,73,19430812,16.0,760,0
672,73,19430813,8.0,759,0
673,73,19430813,12.0,759,0
674,73,19430813,16.0,758,0
675,73,19430814,8.0,760,0
676,73,19430814,12.0,761,0
677,73,19430814,16.0,760,0
678,73,19430815,8.0,761,0
679,73,19430815,12.0,761,0
680,73,19430815,16.0,760,0
681,73,19430816,8.0,760,0
682,73,19430816,12.0,759,0
683,73,19430816,16.0,758,0
684,73,19430817,8.0,760,0
685,73,19430817,12.0,760,0
686,73,19430817,16.0,760,0
687,73,19430818,8.0,761,0
688,73,19430818,12.0,761,0
689,73,19430818,16.0,760,0
690,73,19430819,8.0,760,0
691,73,19430819,12.0,759,0
692,73,19430819,16.0,758,0
693,73,19430820,8.0,758,0
694,73,19430820,12.0,757,0
695,73,19430820,16.0,756,0
696,73,19430821,8.0,757,0
697,73,19430821,12.0,758,0
698,73,19430821,16.0,757,0
699,73,19430822,8.0,759,0
700,73,19430822,12.0,759,0
701,73,19430822,16.0,758,0
702,73,19430823,8.0,760,0
703,73,19430823,12.0,760,0
704,73,19430823,16.0,759,0
705,73,19430824,8.0,761,0
706,73,19430824,12.0,761,0
707,73,19430824,16.0,760,0
708,73,19430825,8.0,762,0
709,73,19430825,12.0,762,0
710,73,19430825,16.0,761,0
711,73,19430826,8.0,763,0
712,73,19430826,12.0,762,0
713,73,19430826,16.0,762,0
714,73,19430827,8.0,763,0
715,73,19430827,12.0,763,0
716,73,19430827,16.0,762,0
717,73,19430828,8.0,762,0
718,73,19430828,12.0,762,0
719,73,19430828,16.0,762,0
720,73,19430829,8.0,762,0
721,73,19430829,12.0,762,0
722,73,19430829,16.0,762,0
723,73,19430830,8.0,762,0
724,73,19430830,12.0,762,0
725,73,19430830,16.0,761,0
726,73,19430831,8.0,761,0
727,73,19430831,12.0,760,0
728,73,19430831,16.0,759,0
729,73,19430901,8.0,760,0
730,73,19430901,12.0,760,0
731,73,19430901,16.0,759,0
732,73,19430902,8.0,761,0
733,73,19430902,12.0,761,0
734,73,19430902,16.0,761,0
735,73,19430903,8.0,762,0
736,73,19430903,12.0,762,0
737,73,19430903,16.0,761,0
738,73,19430904,8.0,763,0
739,73,19430904,12.0,763,0
740,73,19430904,16.0,762,0
741,73,19430905,8.0,762,0
742,73,19430905,12.0,762,0
743,73,19430905,16.0,760,0
744,73,19430906,8.0,761,0
745,73,19430906,12.0,762,0
746,73,19430906,16.0,760,0
747,73,19430907,8.0,761,0
748,73,19430907,12.0,761,0
749,73,19430907,16.0,760,0
750,73,19430908,8.0,761,0
751,73,19430908,12.0,761,0
752,73,19430908,16.0,760,0
753,73,19430909,8.0,762,0
754,73,19430909,12.0,761,0
755,73,19430909,16.0,760,0
756,73,19430910,8.0,762,0
757,73,19430910,12.0,761,0
758,73,19430910,16.0,760,0
759,73,19430911,8.0,762,0
760,73,19430911,12.0,762,0
761,73,19430911,16.0,760,0
762,73,19430912,8.0,761,0
763,73,19430912,12.0,761,0
764,73,19430912,16.0,760,0
765,73,19430913,8.0,761,0
766,73,19430913,12.0,761,0
767,73,19430913,16.0,760,0
768,73,19430914,8.0,762,0
769,73,19430914,12.0,763,0
770,73,19430914,16.0,761,0
771,73,19430915,8.0,762,0
772,73,19430915,12.0,762,0
773,73,19430915,16.0,761,0
774,73,19430916,8.0,763,0
775,73,19430916,12.0,762,0
776,73,19430916,16.0,762,0
777,73,19430917,8.0,763,0
778,73,19430917,12.0,763,0
779,73,19430917,16.0,762,0
780,73,19430918,8.0,763,0
781,73,19430918,12.0,762,0
782,73,19430918,16.0,761,0
783,73,19430919,8.0,760,0
